Date,State,State_resident_number
01/06/2020,AL,36209
01/06/2020,AR,474138
01/06/2020,AS,260885
01/06/2020,AZ,24
01/06/2020,CA,466441
01/06/2020,CO,2154377
01/06/2020,CT,380006
01/06/2020,DC,215074
01/06/2020,DE,43023
01/06/2020,FL,64688
01/06/2020,GA,1795234
01/06/2020,GU,871165
01/06/2020,HI,3766
01/06/2020,IA,84242
01/06/2020,ID,272127
01/06/2020,IL,108372
01/06/2020,IN,954698
01/06/2020,KS,510338
01/06/2020,KY,238707
01/06/2020,LA,322862
01/06/2020,MA,384816
01/06/2020,MD,382598
01/06/2020,ME,392498
01/06/2020,MI,65749
01/06/2020,MN,714948
01/06/2020,MO,394354
01/06/2020,MP,502583
01/06/2020,MS,54
01/06/2020,MT,257429
01/06/2020,NC,56883
01/06/2020,ND,796687
01/06/2020,NE,56018
01/06/2020,NH,161089
01/06/2020,NJ,84301
01/06/2020,NM,625648
01/06/2020,NV,117216
01/06/2020,NY,204775
01/06/2020,OH,1253855
01/06/2020,OK,900860
01/06/2020,OR,348778
01/06/2020,PA,251646
01/06/2020,PR,837507
01/06/2020,RI,73485
01/06/2020,SC,62214
01/06/2020,SD,405198
01/06/2020,TN,59315
01/06/2020,TX,545339
01/06/2020,UT,2410676
01/06/2020,VA,189883
01/06/2020,VI,563666
01/06/2020,VT,980
01/06/2020,WA,29149
01/06/2020,WI,450446
01/06/2020,WV,398569
01/06/2020,WY,114492
01/13/2020,AK,35078
01/13/2020,AL,33656
01/13/2020,AR,459762
01/13/2020,AS,249377
01/13/2020,AZ,22
01/13/2020,CA,440458
01/13/2020,CO,2012365
01/13/2020,CT,360939
01/13/2020,DC,205637
01/13/2020,DE,38152
01/13/2020,FL,61684
01/13/2020,GA,1701074
01/13/2020,GU,834961
01/13/2020,HI,3623
01/13/2020,IA,78462
01/13/2020,ID,261638
01/13/2020,IL,102551
01/13/2020,IN,907897
01/13/2020,KS,488419
01/13/2020,KY,229489
01/13/2020,LA,308276
01/13/2020,MA,369153
01/13/2020,MD,360030
01/13/2020,ME,374274
01/13/2020,MI,62660
01/13/2020,MN,679328
01/13/2020,MO,382832
01/13/2020,MP,481612
01/13/2020,MS,53
01/13/2020,MT,249133
01/13/2020,NC,54228
01/13/2020,ND,769259
01/13/2020,NE,54194
01/13/2020,NH,155883
01/13/2020,NJ,80466
01/13/2020,NM,594385
01/13/2020,NV,112040
01/13/2020,NY,191477
01/13/2020,OH,1178790
01/13/2020,OK,861729
01/13/2020,OR,332115
01/13/2020,PA,237421
01/13/2020,PR,795543
01/13/2020,RI,74977
01/13/2020,SC,58974
01/13/2020,SD,390558
01/13/2020,TN,57373
01/13/2020,TX,522099
01/13/2020,UT,2287805
01/13/2020,VA,179586
01/13/2020,VI,538210
01/13/2020,VT,945
01/13/2020,WA,27708
01/13/2020,WI,419028
01/13/2020,WV,381834
01/13/2020,WY,110233
01/20/2020,AK,33639
01/20/2020,AL,32126
01/20/2020,AR,444833
01/20/2020,AS,245385
01/20/2020,AZ,24
01/20/2020,CA,426003
01/20/2020,CO,1933717
01/20/2020,CT,348803
01/20/2020,DC,199848
01/20/2020,DE,37282
01/20/2020,FL,59762
01/20/2020,GA,1635482
01/20/2020,GU,803381
01/20/2020,HI,3569
01/20/2020,IA,76874
01/20/2020,ID,261532
01/20/2020,IL,101359
01/20/2020,IN,885071
01/20/2020,KS,474883
01/20/2020,KY,226743
01/20/2020,LA,300554
01/20/2020,MA,356730
01/20/2020,MD,348560
01/20/2020,ME,362083
01/20/2020,MI,61302
01/20/2020,MN,663943
01/20/2020,MO,375346
01/20/2020,MP,470809
01/20/2020,MS,55
01/20/2020,MT,240915
01/20/2020,NC,53407
01/20/2020,ND,727473
01/20/2020,NE,52392
01/20/2020,NH,155204
01/20/2020,NJ,77476
01/20/2020,NM,580733
01/20/2020,NV,106035
01/20/2020,NY,184168
01/20/2020,OH,1137524
01/20/2020,OK,837892
01/20/2020,OR,326169
01/20/2020,PA,229531
01/20/2020,PR,773160
01/20/2020,RI,69995
01/20/2020,SC,57954
01/20/2020,SD,375494
01/20/2020,TN,56260
01/20/2020,TX,508338
01/20/2020,UT,2220023
01/20/2020,VA,181286
01/20/2020,VI,525662
01/20/2020,VT,945
01/20/2020,WA,26963
01/20/2020,WI,409450
01/20/2020,WV,372960
01/20/2020,WY,107163
01/27/2020,AK,32725
01/27/2020,AL,31202
01/27/2020,AR,434396
01/27/2020,AS,238370
01/27/2020,AZ,28
01/27/2020,CA,410065
01/27/2020,CO,1848307
01/27/2020,CT,333178
01/27/2020,DC,195013
01/27/2020,DE,37334
01/27/2020,FL,57708
01/27/2020,GA,1585969
01/27/2020,GU,782636
01/27/2020,HI,3418
01/27/2020,IA,73725
01/27/2020,ID,251977
01/27/2020,IL,97349
01/27/2020,IN,849510
01/27/2020,KS,456680
01/27/2020,KY,219656
01/27/2020,LA,290980
01/27/2020,MA,349161
01/27/2020,MD,334656
01/27/2020,ME,352052
01/27/2020,MI,59484
01/27/2020,MN,639943
01/27/2020,MO,360384
01/27/2020,MP,457457
01/27/2020,MS,58
01/27/2020,MT,235268
01/27/2020,NC,51585
01/27/2020,ND,694616
01/27/2020,NE,50438
01/27/2020,NH,149658
01/27/2020,NJ,74275
01/27/2020,NM,560568
01/27/2020,NV,104661
01/27/2020,NY,178837
01/27/2020,OH,1104135
01/27/2020,OK,807668
01/27/2020,OR,317733
01/27/2020,PA,220461
01/27/2020,PR,748075
01/27/2020,RI,68326
01/27/2020,SC,56147
01/27/2020,SD,366776
01/27/2020,TN,54604
01/27/2020,TX,491930
01/27/2020,UT,2157959
01/27/2020,VA,171800
01/27/2020,VI,506592
01/27/2020,VT,887
01/27/2020,WA,25672
01/27/2020,WI,395506
01/27/2020,WV,359834
01/27/2020,WY,105098
02/03/2020,AK,32286
02/03/2020,AL,31720
02/03/2020,AR,493519
02/03/2020,AS,270136
02/03/2020,AZ,11
02/03/2020,CA,473880
02/03/2020,CO,2127152
02/03/2020,CT,380659
02/03/2020,DC,220436
02/03/2020,DE,45567
02/03/2020,FL,66306
02/03/2020,GA,1832313
02/03/2020,GU,890539
02/03/2020,HI,2164
02/03/2020,IA,81984
02/03/2020,ID,272943
02/03/2020,IL,107667
02/03/2020,IN,973900
02/03/2020,KS,522208
02/03/2020,KY,248753
02/03/2020,LA,325297
02/03/2020,MA,403314
02/03/2020,MD,385100
02/03/2020,ME,412335
02/03/2020,MI,64892
02/03/2020,MN,727380
02/03/2020,MO,404004
02/03/2020,MP,518028
02/03/2020,MS,27
