Month,State,State_visitor_number
1,AK,80249
1,AL,1068273
1,AR,650685
1,AS,102
1,AZ,1190181
1,BC,78
1,CA,5052878
1,CO,1016753
1,CT,614305
1,DC,448754
1,DE,220319
1,FL,4373508
1,GA,2155359
1,GU,9346
1,HI,234446
1,IA,688519
1,ID,276896
1,IL,2430321
1,IN,1348671
1,KS,621812
1,KY,902415
1,LA,979268
1,MA,1094553
1,MD,1077394
1,ME,157308
1,MI,1611148
1,MN,961990
1,MO,1318862
1,MP,38
1,MS,660525
1,MT,145305
1,NB,7
1,NC,1934682
1,ND,162855
1,NE,423526
1,NH,266510
1,NJ,1656455
1,NM,407325
1,NV,781337
1,NY,3591281
1,OH,2111237
1,OK,864733
1,OR,646378
1,PA,2285768
1,PR,377233
1,QC,41
1,RI,203492
1,SC,1045690
1,SD,158145
1,TN,1496485
1,TX,5339233
1,UT,518255
1,VA,1531968
1,VI,2126
1,VT,105034
1,WA,1064600
1,WI,976110
1,WV,354803
1,WY,119488
4,AK,45988
4,AL,677859
4,AP,48
4,AR,416993
4,AS,29
4,AZ,610300
4,CA,2591733
4,CO,500672
4,CT,284134
4,DC,143428
4,DE,96985
4,FL,2147601
4,GA,1151037
4,GU,813
4,HI,92866
4,IA,412871
4,ID,170438
4,IL,1289760
4,IN,799298
4,KS,365611
4,KY,538490
4,LA,531231
4,MA,487492
4,MD,507485
4,ME,82420
4,MI,841277
4,MN,537295
4,MO,794032
4,MP,1
4,MS,396287
4,MT,86735
4,NC,1001310
4,ND,87446
4,NE,261570
4,NH,127593
4,NJ,774013
4,NM,211145
4,NV,295599
4,NY,1622423
4,OH,1228384
4,OK,529188
4,OR,349131
4,PA,1159907
4,PR,110025
4,RI,90852
4,SC,591736
4,SD,96769
4,TN,822312
4,TX,3018073
4,UT,299100
4,VA,801380
4,VI,595
4,VT,36890
4,WA,543816
4,WI,559208
4,WV,196509
4,WY,76475
2,AB,25
2,AK,82074
2,AL,1066268
2,AR,622915
2,AS,81
2,AZ,1191379
2,BC,160
2,CA,4796710
2,CO,985284
2,CT,584951
2,DC,510788
2,DE,234841
2,FL,4362084
2,GA,2020414
2,GU,6503
2,HI,213727
2,IA,671150
2,ID,273713
2,IL,2308206
2,IN,1283745
2,KS,603431
2,KY,855163
2,LA,957309
2,MA,1062710
2,MD,1030751
2,ME,161373
2,MI,1630707
2,MN,987386
2,MO,1296708
2,MP,12
2,MS,644257
2,MT,157868
2,NB,10
2,NC,1858828
2,ND,153158
2,NE,421348
2,NH,248231
2,NJ,1585635
2,NM,380447
2,NS,19
2,NV,757366
2,NY,3400549
2,OH,2091085
2,OK,830490
2,ON,31
2,OR,587993
2,PA,2248324
2,PR,280776
2,QC,64
2,RI,211582
2,SC,1016598
2,SD,162320
2,TN,1442406
2,TX,5131961
2,UT,521825
2,VA,1446830
2,VI,1499
2,VT,107713
2,WA,1045106
2,WI,945212
2,WV,350774
2,WY,114326
3,AB,69
3,AK,59464
3,AL,958901
3,AR,553265
3,AS,131
3,AZ,954689
3,BC,172
3,CA,4035365
3,CO,807404
3,CT,437213
3,DC,292210
3,DE,161656
3,FL,3452424
