Date,State,Total_cases,Confirmed_cases,New_cases,Total_deaths,Confirmed_death,New_deaths,State_resident_number,State_visitor_number
01/22/2020,CO,0,0,0,0,0,0,33639,32798
01/23/2020,CO,0,0,0,0,0,0,33639,32798
01/24/2020,CO,0,0,0,0,0,0,33639,32798
01/25/2020,CO,0,0,0,0,0,0,33639,32798
01/26/2020,CO,0,0,0,0,0,0,33639,32798
01/27/2020,CO,0,0,0,0,0,0,32725,32798
01/28/2020,CO,0,0,0,0,0,0,32725,32798
01/29/2020,CO,0,0,0,0,0,0,32725,32798
01/30/2020,CO,0,0,0,0,0,0,32725,32798
01/31/2020,CO,0,0,0,0,0,0,32725,32798
02/01/2020,CO,0,0,0,0,0,0,32725,33975
02/02/2020,CO,0,0,0,0,0,0,32725,33975
02/03/2020,CO,0,0,0,0,0,0,32286,33975
02/04/2020,CO,0,0,0,0,0,0,32286,33975
02/05/2020,CO,0,0,0,0,0,0,32286,33975
02/06/2020,CO,0,0,0,0,0,0,32286,33975
02/07/2020,CO,0,0,0,0,0,0,32286,33975
02/08/2020,CO,0,0,0,0,0,0,32286,33975
02/09/2020,CO,0,0,0,0,0,0,32286,33975
02/10/2020,CO,0,0,0,0,0,0,35350,33975
02/11/2020,CO,0,0,0,0,0,0,35350,33975
02/12/2020,CO,0,0,0,0,0,0,35350,33975
02/13/2020,CO,0,0,0,0,0,0,35350,33975
02/14/2020,CO,0,0,0,0,0,0,35350,33975
02/15/2020,CO,0,0,0,0,0,0,35350,33975
02/16/2020,CO,0,0,0,0,0,0,35350,33975
02/17/2020,CO,0,0,0,0,0,0,34246,33975
02/18/2020,CO,0,0,0,0,0,0,34246,33975
02/19/2020,CO,0,0,0,0,0,0,34246,33975
02/20/2020,CO,0,0,0,0,0,0,34246,33975
02/21/2020,CO,0,0,0,0,0,0,34246,33975
02/22/2020,CO,0,0,0,0,0,0,34246,33975
02/23/2020,CO,0,0,0,0,0,0,34246,33975
02/24/2020,CO,0,0,0,0,0,0,32378,33975
02/25/2020,CO,0,0,0,0,0,0,32378,33975
02/26/2020,CO,0,0,0,0,0,0,32378,33975
02/27/2020,CO,0,0,0,0,0,0,32378,33975
02/28/2020,CO,0,0,0,0,0,0,32378,33975
02/29/2020,CO,0,0,0,0,0,0,32378,33975
03/01/2020,CO,0,0,0,0,0,0,32378,26045
03/02/2020,CO,0,0,0,0,0,0,34710,26045
03/03/2020,CO,0,0,0,0,0,0,34710,26045
03/04/2020,CO,0,0,0,0,0,0,34710,26045
03/05/2020,CO,1,0,1,0,0,0,34710,26045
03/06/2020,CO,2,0,1,0,0,0,34710,26045
03/07/2020,CO,8,0,6,0,0,0,34710,26045
03/08/2020,CO,8,0,0,0,0,0,34710,26045
03/09/2020,CO,12,0,4,0,0,0,33532,26045
03/10/2020,CO,17,0,5,0,0,0,33532,26045
03/11/2020,CO,34,0,17,0,0,0,33532,26045
03/12/2020,CO,49,0,15,0,0,0,33532,26045
03/13/2020,CO,49,0,0,0,0,0,33532,26045
03/14/2020,CO,49,0,0,0,0,0,33532,26045
03/15/2020,CO,144,0,95,1,0,1,33532,26045
03/16/2020,CO,160,0,16,1,0,0,30597,26045
03/17/2020,CO,183,0,23,2,0,1,30597,26045
03/18/2020,CO,216,0,33,2,0,0,30597,26045
03/19/2020,CO,277,0,61,2,0,0,30597,26045
03/20/2020,CO,363,0,86,4,0,2,30597,26045
03/21/2020,CO,475,0,112,5,0,1,30597,26045
